Player,Pos,Age,Tm_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
Austin Reaves,SG,23,LAL,55,15,22.7,2.3,4.9,.465,0.8,2.6,.317,1.5,2.3,.635,.550,1.2,1.5,.850,0.6,2.3,2.9,1.6,0.5,0.3,0.6,1.5,6.7,10.7,.598,.535,.295,3.0,10.6,6.8,9.2,1.0,1.4,9.7,11.7,1.6,0.7,2.3,.089,-1.7,-0.6,-2.3,-0.1,"$925,258"
Austin Rivers,SG,29,DEN,61,16,22.0,2.2,5.3,.418,1.2,3.6,.346,1.0,1.8,.565,.534,0.5,0.7,.725,0.3,1.4,1.7,1.4,0.8,0.1,0.8,1.8,6.2,7.7,.549,.668,.123,1.6,6.8,4.3,8.5,1.8,0.4,12.7,12.9,0.2,1.0,1.2,.044,-3.3,-0.2,-3.5,-0.5,"$2,401,537"
Avery Bradley,SG,31,LAL,58,42,22.6,2.4,5.7,.414,1.3,3.4,.385,1.1,2.3,.459,.530,0.3,0.3,.889,0.5,1.7,2.2,0.8,0.8,0.2,0.6,1.9,6.4,7.8,.541,.601,.054,2.5,8.1,5.3,4.6,1.8,0.6,9.8,12.4,0.2,0.8,1.0,.038,-3.6,-0.2,-3.8,-0.6,"$2,641,691"
Ayo Dosunmu,SG,22,CHI,70,34,27.3,3.5,6.7,.518,0.9,2.4,.381,2.6,4.3,.594,.586,0.7,1.0,.676,0.4,2.4,2.8,3.3,0.7,0.4,1.3,2.4,8.5,11.1,.597,.357,.144,1.5,9.8,5.7,16.4,1.3,1.3,15.5,13.7,1.7,1.3,3.0,.075,-1.9,0.0,-1.9,0.1,"$925,258"
Bam Adebayo,C,24,MIA,51,51,32.7,7.3,13.2,.553,0.0,0.1,.000,7.3,13.1,.558,.553,4.5,5.9,.754,2.5,7.7,10.2,3.4,1.5,0.8,2.7,3.1,19.1,21.8,.603,.009,.447,8.8,26.3,17.7,17.4,2.3,2.7,14.7,25.2,3.1,3.3,6.4,.184,1.6,2.1,3.8,2.4,"$28,103,550"
Ben McLemore,SG,28,POR,57,6,19.4,3.2,8.2,.390,2.3,6.4,.360,0.9,1.8,.495,.530,1.0,1.2,.817,0.2,1.4,1.6,0.8,0.5,0.2,0.8,1.6,9.7,11.2,.555,.776,.151,1.1,8.1,4.5,6.8,1.2,0.9,8.1,21.2,0.5,0.1,0.6,.027,-0.8,-2.7,-3.5,-0.4,"$2,389,641"
Bismack Biyombo,C,29,PHO,31,3,13.4,2.3,3.9,.592,0.0,0.0,,2.3,3.9,.592,.592,1.0,1.9,.517,1.7,2.6,4.4,0.6,0.4,0.7,0.7,2.0,5.6,17.2,.591,.000,.500,14.3,20.7,17.6,5.9,1.3,4.7,13.1,17.6,0.7,0.8,1.4,.167,-2.0,0.4,-1.5,0.1,"$1,366,392"
Blake Griffin,PF,32,BRK,55,24,17.3,2.4,5.7,.426,0.7,2.6,.264,1.7,3.1,.565,.487,1.0,1.4,.724,1.1,3.0,4.1,1.9,0.5,0.3,0.6,1.7,6.5,14.0,.520,.462,.244,7.0,18.7,12.9,15.1,1.4,1.3,8.2,17.0,1.2,0.9,2.1,.106,-0.4,0.0,-0.5,0.4,"$32,405,817"
Blake Griffin,PF,32,BRK,55,24,17.3,2.4,5.7,.426,0.7,2.6,.264,1.7,3.1,.565,.487,1.0,1.4,.724,1.1,3.0,4.1,1.9,0.5,0.3,0.6,1.7,6.5,14.0,.520,.462,.244,7.0,18.7,12.9,15.1,1.4,1.3,8.2,17.0,1.2,0.9,2.1,.106,-0.4,0.0,-0.5,0.4,"$32,405,817"
Boban Marjanović,C,33,DAL,20,0,5.3,1.9,3.0,.617,0.1,0.2,.333,1.8,2.9,.632,.625,0.6,1.0,.550,0.4,1.2,1.6,0.1,0.0,0.2,0.6,1.0,4.3,21.0,.625,.050,.333,7.2,25.2,16.2,4.1,0.0,2.6,13.8,33.9,0.0,0.1,0.2,.071,-1.3,-0.9,-2.2,0.0,"$3,500,000"
