Player,Pos,Age,Tm_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
Drew Eubanks,C,24,TOT,65,25,16.3,2.7,4.7,.586,0.0,0.2,.188,2.7,4.4,.608,.590,1.4,1.8,.759,1.8,3.4,5.2,1.2,0.4,0.6,1.1,1.5,6.9,17.9,.630,.053,.382,11.6,22.6,17.0,10.7,1.1,2.9,16.5,17.1,1.9,1.0,2.9,.132,-0.4,-0.8,-1.2,0.2,"$1,862,176"
Duncan Robinson,SG,27,MIA,73,67,26.3,3.7,9.4,.398,3.0,8.0,.370,0.8,1.4,.560,.556,0.7,0.8,.845,0.3,2.3,2.7,1.7,0.5,0.2,0.8,2.6,11.1,10.6,.571,.854,.085,1.4,9.9,5.7,9.4,1.0,0.7,7.5,17.8,1.7,1.9,3.6,.091,-0.3,-0.4,-0.6,0.7,"$15,560,000"
Dwight Howard,C,36,LAL,53,20,15.5,2.0,3.3,.605,0.1,0.2,.667,1.9,3.2,.601,.621,1.4,2.2,.650,2.0,3.7,5.7,0.6,0.6,0.6,0.8,2.0,5.6,17.6,.648,.051,.661,14.0,25.6,19.8,5.0,1.8,3.6,15.8,14.2,1.7,1.2,2.9,.168,-0.9,0.1,-0.7,0.3,"$2,641,691"
Dwight Powell,C,30,DAL,75,64,21.5,3.1,4.7,.657,0.2,0.5,.361,2.9,4.3,.691,.676,1.9,2.4,.778,2.1,2.6,4.7,1.2,0.5,0.5,0.7,2.6,8.3,17.7,.713,.101,.506,10.8,13.5,12.2,8.3,1.1,1.9,11.2,13.7,5.2,2.0,7.2,.214,0.2,0.6,0.9,1.2,"$11,000,000"
Dylan Windler,SF,25,CLE,45,0,9.1,0.8,1.9,.391,0.5,1.4,.339,0.3,0.6,.520,.511,0.3,0.4,.824,0.4,1.4,1.9,0.6,0.3,0.1,0.3,0.9,2.3,9.7,.545,.713,.195,5.3,17.2,11.4,9.6,1.6,0.7,12.9,11.8,0.3,0.6,0.9,.102,-2.5,1.6,-0.9,0.1,"$2,239,200"
Dāvis Bertāns,PF,29,TOT,49,0,14.4,1.7,5.0,.341,1.3,4.2,.309,0.4,0.9,.500,.470,0.7,0.8,.895,0.2,1.8,1.9,0.5,0.3,0.2,0.3,1.6,5.4,8.0,.504,.829,.154,1.3,13.5,7.4,4.6,1.1,1.1,5.7,17.6,-0.1,0.5,0.4,.028,-2.7,-1.1,-3.8,-0.3,"$16,000,000"
Ed Davis,C,32,CLE,27,3,6.9,0.4,0.6,.688,0.0,0.0,,0.4,0.6,.688,.688,0.2,0.5,.429,0.5,1.8,2.3,0.2,0.1,0.3,0.2,1.1,1.0,9.6,.632,.000,.875,7.9,27.8,18.1,4.2,0.8,3.8,18.4,6.5,0.2,0.3,0.5,.130,-4.3,2.5,-1.8,0.0,"$2,641,691"
Elfrid Payton,PG,27,PHO,47,1,10.9,1.3,3.4,.384,0.1,0.3,.250,1.2,3.0,.399,.396,0.3,0.6,.400,0.4,1.4,1.8,2.0,0.5,0.1,1.0,0.8,2.9,8.2,.401,.101,.189,4.5,13.0,8.9,23.2,2.3,1.0,20.7,18.3,-0.9,0.8,-0.1,-0.006,-4.3,1.4,-2.9,-0.1,"$2,239,544"
Elijah Hughes,SG-SF,23,TOT,31,4,11.6,1.3,3.9,.333,0.7,2.6,.275,0.6,1.3,.450,.425,0.2,0.2,.714,0.2,1.5,1.6,0.6,0.4,0.2,0.4,1.0,3.5,6.0,.435,.667,.058,1.5,13.9,7.6,7.5,1.5,1.6,9.6,16.4,-0.4,0.2,-0.2,-0.029,-4.7,-1.7,-6.4,-0.4,"$1,517,981"
Enes Freedom,C,29,BOS,35,1,11.7,1.5,2.8,.526,0.1,0.1,.400,1.4,2.6,.533,.536,0.7,0.8,.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7,15.1,.585,.052,.289,16.3,25.4,21.0,2.8,0.6,3.1,15.5,13.9,0.6,0.7,1.4,.161,-1.2,-0.3,-1.5,0.1,"$2,641,691"
Eric Bledsoe,PG,32,LAC,54,29,25.2,3.6,8.7,.421,0.9,3.0,.313,2.7,5.6,.479,.475,1.6,2.2,.761,0.5,2.9,3.4,4.2,1.3,0.4,2.1,1.6,9.9,12.6,.514,.348,.250,2.2,11.7,7.1,24.4,2.5,1.2,18.3,20.5,-0.5,1.7,1.3,.045,-2.1,1.2,-1.0,0.4,"$18,125,000"
Eric Gordon,SG,33,HOU,57,46,29.3,4.7,9.9,.475,2.2,5.3,.412,2.5,4.6,.548,.585,1.8,2.4,.778,0.3,1.7,2.0,2.7,0.5,0.3,1.9,1.1,13.4,12.2,.614,.534,.239,1.0,6.5,3.7,14.2,0.8,1.0,14.6,18.6,1.5,-0.1,1.4,.041,0.0,-2.2,-2.3,-0.1,"$18,218,818"
Eric Paschall,PF,25,UTA,54,3,13.3,2.0,4.2,.482,0.7,2.0,.374,1.3,2.2,.580,.571,1.2,1.5,.771,0.5,1.4,1.9,0.7,0.2,0.1,0.5,0.9,6.0,13.8,.613,.473,.367,4.6,10.8,7.8,7.3,0.6,0.6,9.3,17.6,1.4,0.5,1.9,.125,0.5,-1.0,-0.5,0.3,"$1,782,621"
Evan Fournier,SG,29,NYK,74,74,29.6,5.1,12.2,.416,3.0,7.8,.388,2.0,4.4,.464,.540,1.0,1.4,.696,0.4,2.2,2.6,2.1,1.0,0.2,1.3,2.2,14.1,12.2,.552,.641,.113,1.6,8.0,4.7,11.7,1.6,0.8,9.5,20.9,1.4,1.9,3.2,.070,-0.3,-0.5,-0.8,0.6,"$18,139,535"
Evan Mobley,PF,20,CLE,67,67,33.9,6.1,12.0,.506,0.3,1.4,.253,5.7,10.7,.538,.520,2.4,3.6,.664,2.0,6.2,8.3,2.5,0.8,1.6,2.0,2.2,14.9,15.8,.548,.113,.299,6.8,19.8,13.4,11.7,1.2,4.3,12.6,20.3,1.4,3.7,5.1,.108,-1.0,1.5,0.5,1.4,"$8,075,160"
Facundo Campazzo,PG,30,DEN,63,4,18.6,1.7,4.6,.364,0.9,3.0,.302,0.8,1.6,.480,.462,1.0,1.2,.769,0.4,1.5,1.9,3.4,1.0,0.4,1.0,2.0,5.2,11.2,.506,.649,.268,2.3,8.7,5.6,24.1,2.6,1.8,16.9,14.7,0.7,1.4,2.1,.085,-2.0,1.3,-0.8,0.4,"$3,804,150"
Frank Jackson,PG,23,DET,46,5,22.0,3.7,9.1,.401,1.7,5.4,.316,2.0,3.7,.523,.494,1.4,1.8,.805,0.3,1.2,1.6,1.0,0.5,0.2,0.8,1.7,10.4,10.2,.527,.589,.196,1.5,6.4,3.8,7.0,1.2,0.8,7.3,20.8,0.1,0.4,0.5,.024,-1.8,-1.6,-3.4,-0.4,"$3,000,000"
Frank Kaminsky,C,28,PHO,9,0,20.1,4.0,7.3,.545,0.6,1.7,.333,3.4,5.7,.608,.583,2.0,2.2,.900,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,10.6,21.4,.635,.227,.303,6.8,17.3,12.2,10.1,2.1,3.4,6.3,19.1,0.5,0.3,0.9,.231,2.5,2.5,5.0,0.3,"$2,089,448"
Frank Ntilikina,PG,23,DAL,55,5,12.3,1.6,4.0,.397,0.7,2.0,.345,0.9,2.0,.450,.484,0.4,0.5,.960,0.2,1.2,1.4,1.3,0.5,0.1,0.6,1.1,4.3,10.5,.513,.502,.114,2.0,10.9,6.4,15.1,2.0,0.9,11.9,17.4,0.1,0.9,1.0,.068,-2.8,0.9,-1.9,0.0,"$1,789,256"
Franz Wagner,SF,20,ORL,76,76,31.5,5.8,12.5,.466,1.2,3.5,.350,4.6,9.0,.511,.515,2.4,2.8,.861,1.1,3.5,4.6,3.0,0.9,0.4,1.6,2.1,15.4,14.7,.557,.279,.227,3.7,11.9,7.8,15.7,1.4,1.3,10.1,21.1,2.1,1.9,4.0,.080,-0.5,-0.3,-0.8,0.7,"$5,007,840"
Fred VanVleet,PG,27,TOR,61,61,37.9,6.9,16.8,.409,3.8,9.8,.384,3.1,7.0,.443,.520,3.0,3.4,.874,0.7,3.9,4.6,6.7,1.6,0.5,2.6,2.5,20.5,17.7,.559,.581,.202,1.9,11.6,6.5,26.8,2.1,1.3,12.4,23.6,4.2,2.4,6.5,.136,3.4,0.2,3.7,3.3,"$19,675,926"
Furkan Korkmaz,SG,24,PHI,61,19,22.2,2.9,7.4,.397,1.2,4.2,.299,1.7,3.2,.523,.481,1.0,1.3,.795,0.3,2.5,2.8,2.0,0.5,0.1,0.8,0.9,8.1,10.7,.511,.563,.173,1.7,12.2,7.0,13.3,1.2,0.5,8.7,17.7,0.3,1.1,1.4,.049,-1.7,-1.0,-2.7,-0.2,"$4,629,630"
Gabe Vincent,PG,25,MIA,63,26,23.9,3.2,7.8,.414,1.8,4.9,.362,1.5,2.9,.503,.528,0.7,0.8,.808,0.3,1.5,1.9,3.2,1.0,0.2,1.5,2.4,8.9,10.7,.545,.627,.106,1.7,7.2,4.5,19.6,2.0,0.8,15.5,18.0,0.6,1.8,2.3,.075,-2.0,0.5,-1.5,0.2,"$1,669,178"
Gabriel Deck,PF,26,OKC,7,0,8.0,1.1,2.0,.571,0.3,0.6,.500,0.9,1.4,.600,.643,0.0,0.0,,0.1,0.7,0.9,0.7,0.1,0.0,0.3,0.3,2.6,11.6,.643,.286,.000,1.8,9.3,5.5,13.8,0.9,0.0,12.5,12.3,0.1,0.0,0.1,.082,-1.1,-1.4,-2.5,0.0,"$1,690,507"
Garrett Temple,SG,35,NOP,56,16,18.9,1.9,5.0,.383,1.0,3.1,.320,0.9,1.9,.486,.482,0.5,0.7,.683,0.5,2.0,2.5,1.3,0.8,0.4,0.7,1.4,5.4,9.0,.500,.621,.145,3.0,11.7,7.3,9.4,2.0,2.1,11.8,13.8,0.0,1.0,1.0,.044,-2.6,0.5,-2.2,0.0,"$4,910,000"
Garrison Mathews,SG,25,HOU,59,27,26.2,2.8,7.1,.399,2.1,5.9,.358,0.7,1.2,.600,.548,2.2,2.8,.800,0.5,2.4,2.9,1.0,0.9,0.3,0.6,2.5,10.0,11.1,.601,.833,.394,2.1,10.1,6.0,5.3,1.6,1.1,6.8,14.5,2.1,0.5,2.5,.079,-1.3,-1.1,-2.3,-0.1,"$1,093,598"
Gary Clark,PF,27,NOP,34,1,9.7,0.8,2.2,.355,0.7,1.9,.381,0.1,0.4,.231,.513,0.2,0.2,.750,0.5,1.9,2.4,0.4,0.3,0.2,0.2,0.6,2.5,10.7,.528,.829,.105,5.6,21.3,13.3,5.6,1.6,2.0,8.1,11.2,0.2,0.4,0.6,.088,-0.3,0.2,-0.1,0.2,"$377,645"
Gary Harris,SG,27,ORL,61,30,28.4,3.9,9.1,.434,1.9,5.0,.384,2.0,4.1,.494,.539,1.4,1.6,.874,0.6,1.4,2.0,1.8,1.0,0.1,1.0,1.8,11.1,10.9,.571,.546,.172,2.2,5.3,3.7,9.6,1.6,0.5,9.3,16.4,1.2,1.0,2.2,.062,-2.0,-0.4,-2.4,-0.2,"$20,482,143"
Gary Payton II,PG,29,GSW,65,15,17.2,2.9,4.7,.620,0.6,1.7,.369,2.3,3.0,.761,.687,0.5,0.9,.589,1.0,2.4,3.5,0.8,1.4,0.3,0.6,1.8,7.0,18.2,.685,.360,.182,6.6,15.1,11.0,7.3,3.8,1.7,10.0,14.4,2.4,2.3,4.7,.200,0.5,3.4,3.9,1.7,"$1,939,350"
Gary Trent Jr.,SG,23,TOR,63,62,34.8,6.3,15.4,.406,2.9,7.9,.374,3.3,7.6,.440,.502,2.5,3.0,.839,0.4,2.4,2.8,2.1,1.8,0.3,1.0,2.1,18.0,14.5,.537,.509,.191,1.1,7.8,4.3,9.0,2.6,0.8,5.8,21.9,2.6,2.2,4.8,.105,-0.3,0.3,0.0,1.1,"$16,000,000"
George Hill,SG,35,MIL,47,17,24.3,2.4,5.4,.437,0.9,2.7,.315,1.5,2.7,.559,.516,1.1,1.1,.926,0.7,2.3,3.0,2.3,0.8,0.1,0.8,1.3,6.6,10.6,.562,.500,.213,3.3,9.6,6.6,12.5,1.6,0.5,11.8,11.8,1.3,0.9,2.2,.094,-1.9,0.6,-1.3,0.2,"$4,000,000"
George Hill,SG,35,MIL,47,17,24.3,2.4,5.4,.437,0.9,2.7,.315,1.5,2.7,.559,.516,1.1,1.1,.926,0.7,2.3,3.0,2.3,0.8,0.1,0.8,1.3,6.6,10.6,.562,.500,.213,3.3,9.6,6.6,12.5,1.6,0.5,11.8,11.8,1.3,0.9,2.2,.094,-1.9,0.6,-1.3,0.2,"$4,000,000"
Georges Niang,PF,28,PHI,70,7,23.2,3.3,7.6,.433,2.0,5.1,.398,1.2,2.5,.506,.568,0.7,0.8,.875,0.3,2.4,2.7,1.4,0.4,0.2,0.8,2.6,9.3,10.7,.587,.676,.105,1.6,11.4,6.6,9.3,0.8,0.7,8.9,16.9,1.4,1.2,2.6,.078,-0.9,-1.1,-1.9,0.0,"$3,300,000"
Georgios Kalaitzakis,SF,23,MIL,9,0,5.3,0.6,1.2,.455,0.2,0.4,.500,0.3,0.8,.429,.545,0.4,1.0,.444,0.4,0.4,0.9,0.0,0.1,0.1,0.4,0.9,1.8,5.9,.535,.364,.818,9.0,8.6,8.8,0.0,1.0,2.0,21.1,16.9,0.0,0.0,0.0,-0.007,-5.8,-2.1,-7.9,-0.1,"$462,629"
Giannis Antetokounmpo,PF,27,MIL,61,61,32.8,10.2,18.5,.550,1.1,3.7,.300,9.1,14.8,.611,.579,8.3,11.5,.722,2.0,9.6,11.6,5.8,1.0,1.4,3.2,3.2,29.7,32.2,.631,.198,.621,6.4,30.3,18.7,32.1,1.5,4.2,12.1,35.0,8.5,3.5,12.0,.288,7.6,3.6,11.2,6.7,"$39,344,970"
Goga Bitadze,C,22,IND,47,13,13.9,2.5,4.9,.520,0.4,1.5,.278,2.1,3.3,.631,.563,1.2,1.8,.655,1.5,1.9,3.4,1.0,0.4,0.8,0.9,2.1,6.7,18.1,.588,.314,.367,12.1,15.4,13.7,11.0,1.5,4.9,13.1,20.0,1.1,0.6,1.7,.125,-0.4,-0.5,-0.9,0.2,"$3,098,400"
Goran Dragić,PG,35,TOT,19,8,23.7,2.7,7.3,.370,0.7,2.9,.250,1.9,4.3,.451,.420,1.4,1.7,.818,0.6,2.4,3.0,4.3,0.8,0.2,1.5,2.2,7.5,10.3,.469,.406,.239,2.7,11.1,6.9,23.8,1.7,0.8,15.5,17.3,0.0,0.3,0.4,.040,-2.6,-0.6,-3.2,-0.1,"$20,168,742"
Goran Dragić,PG,35,TOT,19,8,23.7,2.7,7.3,.370,0.7,2.9,.250,1.9,4.3,.451,.420,1.4,1.7,.818,0.6,2.4,3.0,4.3,0.8,0.2,1.5,2.2,7.5,10.3,.469,.406,.239,2.7,11.1,6.9,23.8,1.7,0.8,15.5,17.3,0.0,0.3,0.4,.040,-2.6,-0.6,-3.2,-0.1,"$20,168,742"
Gordon Hayward,SF,31,CHO,48,48,32.2,5.9,12.7,.460,1.8,4.5,.390,4.1,8.2,.499,.529,2.6,3.1,.846,0.8,3.8,4.6,3.6,1.0,0.5,1.7,1.8,16.1,15.2,.571,.357,.244,2.5,12.7,7.5,16.1,1.4,1.3,10.6,20.8,2.0,1.0,2.9,.091,0.1,-0.8,-0.7,0.5,"$29,900,000"
Gorgui Dieng,C,32,ATL,42,3,8.6,1.2,2.5,.491,0.7,1.5,.452,0.6,1.0,.545,.623,0.5,0.6,.731,0.8,2.1,2.8,0.8,0.3,0.3,0.5,1.2,3.6,18.0,.643,.585,.245,9.7,26.2,18.0,12.7,1.5,3.2,14.6,16.6,0.8,0.4,1.2,.163,1.8,0.8,2.5,0.4,"$4,000,000"
Grant Williams,PF,23,BOS,71,19,24.1,2.7,5.6,.478,1.4,3.4,.420,1.3,2.2,.567,.605,1.1,1.2,.908,0.8,2.7,3.5,1.0,0.5,0.7,0.8,2.4,7.8,11.6,.643,.603,.220,3.8,11.8,7.9,6.0,1.0,2.7,11.1,12.6,2.5,2.4,4.9,.137,-1.2,1.1,-0.1,0.8,"$2,617,800"
Grayson Allen,SG,26,MIL,62,61,27.5,3.9,8.8,.443,2.5,6.0,.408,1.5,2.8,.520,.583,0.9,1.1,.866,0.5,2.9,3.4,1.5,0.7,0.3,0.6,1.5,11.2,12.8,.603,.684,.122,1.8,10.8,6.4,7.8,1.2,0.9,6.5,15.5,2.6,1.3,4.0,.112,0.6,-0.2,0.4,1.0,"$4,054,695"
Greg Brown III,SF,20,POR,41,0,11.4,1.5,3.5,.414,0.2,0.9,.189,1.3,2.6,.491,.438,0.9,1.3,.636,0.9,1.7,2.6,0.6,0.5,0.5,0.5,1.7,4.0,11.3,.479,.255,.379,7.9,17.0,12.3,7.3,2.2,4.0,11.5,17.7,-0.1,0.4,0.3,.031,-4.3,-0.5,-4.8,-0.3,"$925,258"
Greg Monroe,C,31,TOT,10,0,15.1,2.4,4.4,.545,0.0,0.0,,2.4,4.4,.545,.545,0.7,1.4,.500,2.3,2.9,5.2,1.4,0.6,0.7,0.9,1.6,5.5,18.2,.548,.000,.318,16.5,20.5,18.4,13.1,1.9,4.4,15.2,16.7,0.2,0.2,0.5,.147,-1.0,0.4,-0.6,0.1,"$1,701,537"
Greg Monroe,C,31,TOT,10,0,15.1,2.4,4.4,.545,0.0,0.0,,2.4,4.4,.545,.545,0.7,1.4,.500,2.3,2.9,5.2,1.4,0.6,0.7,0.9,1.6,5.5,18.2,.548,.000,.318,16.5,20.5,18.4,13.1,1.9,4.4,15.2,16.7,0.2,0.2,0.5,.147,-1.0,0.4,-0.6,0.1,"$1,701,537"
Greg Monroe,C,31,TOT,10,0,15.1,2.4,4.4,.545,0.0,0.0,,2.4,4.4,.545,.545,0.7,1.4,.500,2.3,2.9,5.2,1.4,0.6,0.7,0.9,1.6,5.5,18.2,.548,.000,.318,16.5,20.5,18.4,13.1,1.9,4.4,15.2,16.7,0.2,0.2,0.5,.147,-1.0,0.4,-0.6,0.1,"$1,701,537"
Greg Monroe,C,31,TOT,10,0,15.1,2.4,4.4,.545,0.0,0.0,,2.4,4.4,.545,.545,0.7,1.4,.500,2.3,2.9,5.2,1.4,0.6,0.7,0.9,1.6,5.5,18.2,.548,.000,.318,16.5,20.5,18.4,13.1,1.9,4.4,15.2,16.7,0.2,0.2,0.5,.147,-1.0,0.4,-0.6,0.1,"$1,701,537"
Greg Monroe,C,31,TOT,10,0,15.1,2.4,4.4,.545,0.0,0.0,,2.4,4.4,.545,.545,0.7,1.4,.500,2.3,2.9,5.2,1.4,0.6,0.7,0.9,1.6,5.5,18.2,.548,.000,.318,16.5,20.5,18.4,13.1,1.9,4.4,15.2,16.7,0.2,0.2,0.5,.147,-1.0,0.4,-0.6,0.1,"$1,701,537"
Hamidou Diallo,SG,23,DET,58,29,21.9,4.5,9.1,.496,0.4,1.6,.247,4.1,7.5,.550,.518,1.6,2.4,.650,1.2,3.6,4.8,1.3,1.2,0.3,1.0,2.5,11.0,15.9,.541,.177,.266,5.6,18.6,11.8,9.9,2.7,1.2,9.0,21.8,0.7,1.5,2.2,.083,-1.2,0.7,-0.5,0.5,"$5,200,000"
Harrison Barnes,PF,29,SAC,71,71,34.0,5.1,10.9,.468,1.9,4.7,.404,3.2,6.2,.517,.555,4.6,5.6,.831,1.1,4.6,5.7,2.5,0.7,0.2,1.6,1.2,16.8,16.1,.627,.430,.510,3.4,15.1,9.2,10.8,1.0,0.5,10.8,18.9,5.0,0.9,5.9,.117,1.7,-1.3,0.4,1.5,"$20,284,091"
Hassan Whiteside,C,32,UTA,60,8,18.1,3.3,5.0,.649,0.0,0.0,,3.3,5.0,.649,.649,1.6,2.5,.624,2.5,5.2,7.6,0.4,0.4,1.5,0.9,2.8,8.1,22.0,.660,.000,.493,15.3,30.2,23.0,3.1,1.0,7.3,12.2,16.8,3.0,2.1,5.1,.226,0.2,1.3,1.5,1.0,"$2,401,537"
Haywood Highsmith,SF,25,MIA,16,0,7.3,0.6,1.6,.346,0.4,1.1,.412,0.1,0.6,.222,.481,0.1,0.3,.500,0.4,0.9,1.3,0.1,0.1,0.1,0.1,0.6,1.7,6.7,.486,.654,.154,6.9,13.3,10.1,2.3,0.4,1.8,6.7,11.3,0.0,0.1,0.1,.060,-2.7,-0.5,-3.3,0.0,"$290,967"
Herbert Jones,PF,23,NOP,72,63,30.0,3.6,7.4,.481,0.7,2.1,.346,2.8,5.3,.535,.531,1.7,2.1,.845,1.2,2.6,3.8,2.2,1.6,0.8,1.3,3.1,9.6,12.4,.577,.285,.276,4.5,9.7,7.1,10.1,2.7,2.4,13.8,13.9,2.0,2.4,4.3,.096,-2.0,1.5,-0.6,0.8,"$1,700,000"
Immanuel Quickley,PG,22,NYK,72,2,22.4,3.4,8.7,.388,1.7,4.8,.348,1.7,3.8,.438,.485,2.2,2.5,.899,0.4,2.5,2.9,3.2,0.6,0.0,1.3,2.1,10.6,13.8,.545,.558,.287,1.8,12.3,6.9,22.4,1.4,0.2,11.4,21.5,2.1,1.4,3.5,.104,-0.1,-0.2,-0.3,0.7,"$2,210,640"
Isaac Bonga,SF,22,TOR,15,0,4.6,0.2,0.9,.231,0.1,0.3,.250,0.1,0.6,.222,.269,0.3,0.5,.625,0.3,0.2,0.5,0.3,0.5,0.1,0.1,0.7,0.8,8.8,.363,.308,.615,6.0,5.0,5.5,7.3,5.8,2.8,10.8,11.5,0.0,0.1,0.1,.058,-5.4,4.9,-0.5,0.0,"$1,729,217"
Isaac Okoro,SF,21,CLE,60,54,29.8,3.2,6.7,.476,0.9,2.5,.356,2.3,4.2,.547,.542,1.9,2.4,.794,1.1,2.0,3.1,1.8,0.9,0.3,1.0,2.5,9.2,10.6,.590,.370,.350,4.2,7.3,5.8,8.6,1.4,0.9,10.9,12.9,2.1,1.8,4.0,.107,-2.3,0.8,-1.6,0.2,"$6,720,720"
Isaiah Hartenstein,C,23,LAC,61,0,17.2,3.3,5.2,.633,0.1,0.3,.375,3.2,5.0,.647,.643,1.3,1.9,.658,1.6,3.0,4.6,2.1,0.8,1.2,1.2,2.4,8.0,21.9,.657,.050,.367,10.2,17.9,14.2,19.8,2.2,5.8,16.6,18.6,2.6,1.9,4.5,.205,0.9,3.3,4.2,1.6,"$3,430,810"
Isaiah Hartenstein,C,23,LAC,61,0,17.2,3.3,5.2,.633,0.1,0.3,.375,3.2,5.0,.647,.643,1.3,1.9,.658,1.6,3.0,4.6,2.1,0.8,1.2,1.2,2.4,8.0,21.9,.657,.050,.367,10.2,17.9,14.2,19.8,2.2,5.8,16.6,18.6,2.6,1.9,4.5,.205,0.9,3.3,4.2,1.6,"$3,430,810"
Isaiah Jackson,PF,20,IND,31,12,13.4,2.9,5.3,.552,0.1,0.4,.308,2.8,4.9,.572,.564,1.5,2.3,.653,1.6,2.5,4.1,0.3,0.5,1.3,1.0,2.5,7.5,21.0,.592,.079,.436,13.5,20.6,17.0,3.5,2.0,8.6,13.6,23.6,0.5,0.6,1.1,.130,-1.5,0.1,-1.4,0.0,"$2,451,120"
Isaiah Joe,SG,22,PHI,51,1,11.1,1.1,3.2,.346,0.8,2.4,.323,0.3,0.7,.421,.469,0.5,0.5,.923,0.1,0.9,1.0,0.6,0.2,0.1,0.3,0.8,3.5,7.3,.507,.765,.160,1.2,8.5,4.9,8.2,1.1,0.5,8.4,15.1,0.0,0.4,0.4,.032,-3.2,-1.4,-4.6,-0.4,"$1,517,981"
Isaiah Livers,SF,23,DET,13,0,16.5,1.7,4.2,.400,1.2,3.2,.357,0.5,1.0,.538,.536,0.3,0.4,.800,0.8,1.7,2.5,0.8,0.5,0.4,0.6,1.9,4.8,9.3,.551,.764,.091,4.8,11.6,8.0,7.5,1.6,2.1,12.3,13.0,0.1,0.2,0.2,.056,-1.8,-0.2,-2.0,0.0,"$1,057,260"
Isaiah Roby,PF,23,OKC,38,21,19.7,3.3,6.4,.525,0.8,1.8,.443,2.5,4.5,.558,.589,1.6,2.3,.721,1.6,2.9,4.6,1.4,0.8,0.7,0.9,2.4,9.1,18.4,.620,.289,.355,8.4,15.4,11.8,11.4,2.0,3.2,10.5,18.1,1.6,0.9,2.5,.160,0.2,0.4,0.6,0.5,"$1,782,621"
Isaiah Stewart,C,20,DET,64,64,26.0,3.6,6.9,.518,0.1,0.5,.194,3.5,6.5,.542,.525,1.0,1.5,.705,3.2,5.5,8.6,1.1,0.3,1.1,1.3,3.0,8.3,13.8,.549,.070,.214,12.6,23.8,18.0,6.3,0.6,3.9,14.1,14.6,1.4,1.7,3.0,.087,-2.7,-0.8,-3.5,-0.6,"$3,277,080"
Isaiah Thomas,PG,32,TOT,16,1,16.8,3.3,8.3,.402,1.3,4.1,.323,2.0,4.2,.478,.481,1.1,1.4,.818,0.2,1.3,1.4,1.8,0.4,0.3,0.8,1.5,9.1,12.2,.512,.492,.167,1.2,8.0,4.5,16.8,1.1,1.4,7.8,24.4,0.0,0.1,0.2,.029,-1.6,-2.1,-3.6,-0.1,"$276,039"
Isaiah Thomas,PG,32,TOT,16,1,16.8,3.3,8.3,.402,1.3,4.1,.323,2.0,4.2,.478,.481,1.1,1.4,.818,0.2,1.3,1.4,1.8,0.4,0.3,0.8,1.5,9.1,12.2,.512,.492,.167,1.2,8.0,4.5,16.8,1.1,1.4,7.8,24.4,0.0,0.1,0.2,.029,-1.6,-2.1,-3.6,-0.1,"$276,039"
Isaiah Thomas,PG,32,TOT,16,1,16.8,3.3,8.3,.402,1.3,4.1,.323,2.0,4.2,.478,.481,1.1,1.4,.818,0.2,1.3,1.4,1.8,0.4,0.3,0.8,1.5,9.1,12.2,.512,.492,.167,1.2,8.0,4.5,16.8,1.1,1.4,7.8,24.4,0.0,0.1,0.2,.029,-1.6,-2.1,-3.6,-0.1,"$276,039"
Isaiah Todd,PF,20,WAS,10,0,4.1,0.5,1.7,.294,0.4,1.1,.364,0.1,0.6,.167,.412,0.2,0.6,.333,0.2,0.8,1.0,0.3,0.2,0.2,0.1,0.1,1.6,12.0,.407,.647,.353,5.5,21.2,13.4,10.3,2.4,4.1,4.8,22.4,-0.1,0.1,0.0,-0.004,-0.3,0.1,-0.2,0.0,"$1,500,000"
Ish Smith,PG,33,TOT,57,1,16.5,2.6,6.2,.417,0.4,1.0,.382,2.2,5.3,.423,.446,0.3,0.4,.625,0.4,1.7,2.1,3.4,0.6,0.3,1.1,1.2,5.8,11.7,.454,.155,.068,2.9,10.9,6.9,29.7,1.9,1.8,14.9,19.9,-0.4,0.7,0.3,.015,-2.7,-0.8,-3.6,-0.4,"$4,500,000"
Ivica Zubac,C,24,LAC,69,69,24.4,4.0,6.4,.620,0.0,0.0,,4.0,6.4,.620,.620,2.2,3.0,.732,2.8,5.6,8.4,1.6,0.5,1.0,1.6,2.6,10.1,18.8,.657,.000,.475,12.4,23.6,18.1,9.7,1.0,3.6,17.0,16.7,3.6,2.6,6.2,.177,-0.3,0.8,0.5,1.0,"$7,518,518"
JT Thor,PF,19,CHO,29,0,8.5,0.8,1.9,.444,0.2,0.9,.269,0.6,1.0,.607,.509,0.3,0.6,.625,0.4,1.0,1.4,0.6,0.3,0.3,0.3,0.9,2.2,10.4,.532,.481,.296,4.6,12.6,8.6,9.4,1.6,3.8,11.6,11.9,0.2,0.2,0.4,.072,-2.7,0.2,-2.6,0.0,"$1,250,000"
